"Job Title","ID","Created Date","Updated Date","Owner","Resume","Logo","Short Description","Job Content","Company","Tenure","Order","Mobile Logo","Collaborators","Location","Flat Logo","PreviousPositions","Items_previousPositions","CoffeeConvo","hasDivider","showLogo","LBotLogo"
"Sr Manager UX","00000000-0000-0000-0000-000000000003",2023-06-15T01:30:59Z,2024-09-15T17:11:05Z,"bc4f65d2-8b9d-4309-a3d6-a1a44943f0b0","/resume/","wix:image://v1/bc4f65_c915367b2aec4d848aeba0e8bfa81488~mv2.png/athenahealth-logo-square.png#originWidth=1024&originHeight=1024","Leading a world class experience for cloud-based services and mobile tools for for zones within athenahealth Platform.",,"athenahealth, Boston","2018 - 2021",7,"wix:image://v1/bc4f65_ee38f3d04dd44357b5119de9f826806a~mv2.png/mobile-athenahealth-logo-v2.png#originWidth=1024&originHeight=512","[""1a8e5e2b-8f17-47cd-b470-065c8734eb1a"",""198de013-f7f3-484e-a908-5f0c0557b141"",""4adf2335-e380-4cbd-8d47-25bf06368719"",""e4353f71-343a-4ecb-b127-f4e672092963"",""1f2bba41-9d61-42b2-90ea-494d44235e37"",""3db012dd-7c75-4304-8019-afdbad744491"",""452e1198-9f70-42fc-b83f-1a9f546e3430"",""64a6ed0f-e8d1-47bf-a9e9-b2646a721d23"",""0d11358e-c6d6-4ced-933d-2591cb37be99"",""a796a4f7-cedb-4103-84e9-4291651bf231"",""2335f571-0d63-4f42-9a4d-1cdaf2cf74e0"",""45f26ac0-3ebe-448f-bc39-795641de48e0"",""a688b008-118a-4f66-a6b8-a40726dc4807"",""a32a07fa-2d4a-4487-9246-18339d85c889"",""4eb4625d-cd4b-45f6-9122-29b9ced30da4"",""661e4e5b-1c74-4c21-a963-a8fd2af926a1"",""8f1935ca-44a8-4b73-a902-bb8a5246cec4"",""41f9c37e-8c39-4aca-9cfd-1678aef13f90"",""9cdbb493-6b46-487f-8934-3abf1fb34dbe"",""bcd5241c-0b5a-436b-9e26-b9dfb7367672"",""45b660f2-a3e9-41d7-865a-3760cd3cc5f4"",""390176c8-212f-4a50-aae2-63f4b24564dc"",""c5012c91-cc57-47e7-b871-8b89f013d05b"",""cb98edd9-e9d2-4dfe-8c5a-135c205a667a"",""f8bb9428-bc2f-45dc-97a1-177b6ad5ae96"",""3b2becc9-7988-450d-a7cd-8e1be2f8d945"",""349cc8b2-c48d-4314-b73a-8cf0eef277fa"",""bdb746e4-3ed1-459d-b998-c567586903ce"",""f3d5521c-a91b-4681-a304-dd6294352e06"",""43116190-1c1b-4a62-af40-6bde080502dd"",""3c0a2a4c-e4c8-48ab-a78f-5c2d47b91a53"",""372bfe92-ffa2-435a-85c2-5c0907d069b7"",""d9625692-0bea-4d7f-a99f-f9ff6c47f297"",""33785e1d-342d-491b-a3f8-0ee2241ffa06"",""78fa5f4a-f719-44b0-b6be-66d42b24cae6"",""9a4f516c-bfe8-4ddd-ae60-26b538e07277"",""1aea057a-4ac2-42ce-915d-9f8b7118ac81"",""707a9ae0-6a38-45e4-9c3c-47cdb76ec552"",""5db7f9ff-4916-4455-9444-0920e6f1a895"",""9c533492-c71e-4e00-812b-8c62eb325552"",""d295f784-1ab7-4d44-b061-7805824703ca"",""a883167b-0b9c-4088-97ff-c37e84225915"",""177646bf-b306-473e-81c5-c809d02bc2bd"",""ec02d37f-c91c-4a4f-8dd6-12604c3e66e3"",""df4b5ce3-d2cb-4fe9-aef8-d6b8d30ccdfb"",""ad11955c-b3f8-4c79-8176-034058e233f6"",""0ecc4cc1-5886-4f23-9a9d-f67f1c36ca5c"",""56b8a57d-48e0-4315-97e9-622e3a026c3c"",""4324078c-5eff-4808-8f18-1d827c8d3533"",""6a8c0f1a-e3e4-49c6-883e-ec20b1c2dae5"",""a1db7055-bb92-461f-bb67-d609b92d5db7"",""e125239a-1553-42f7-9537-4bdcf80ef6cd"",""8d87d66a-0ef7-4481-8780-8eded7e2f0c9""]","Boston","wix:image://v1/bc4f65_746ae7e46e6a4d74a205e591ccf02973~mv2.png/flat-athena.png#originWidth=350&originHeight=120",,"[""cc53745a-ce80-4929-afb4-f761a528f5a2""]",,,,"wix:image://v1/bc4f65_b746949ad2a24ed194de2301f258c74b~mv2.png/lbot-athenahealth-logo-v2.png#originWidth=1024&originHeight=512"
"Sr UX Designer","1c3e8225-2a5c-4354-be02-528710c703dc",2023-06-15T03:15:06Z,2024-09-15T17:11:25Z,"bc4f65d2-8b9d-4309-a3d6-a1a44943f0b0","/resume/","wix:image://v1/bc4f65_9c3b82a468cd46f88b0e397504b530f4~mv2.png/kaseya-logo.png#originWidth=1024&originHeight=1024","Taking the company’s UX to the next level by redefining the experience on corporate website, e-commerce portal and flagship product. Also contributing to marketing collateral, presentations and team building.",,"Kaseya, Bengaluru","2014 - 2016",4,"wix:image://v1/bc4f65_c4f9f57a8140498581e8d4761a5171a6~mv2.png/mobile-kaseya-logo.png#originWidth=1024&originHeight=512","[""c581d91a-a9d4-403f-8280-6a5b8ff0622a"",""4b9e79e3-3de2-4ae5-aabd-38831ac85daa"",""a2b41f45-17f8-4b29-a791-743696a69cd5"",""44d4bfab-369e-4a3e-a53c-ec243fc8266f"",""ae21edb2-5682-406b-b166-8ec217ac1105"",""8dc030d7-fbef-4fba-ad11-ab91637dbd57"",""6581b86b-2e6f-44e6-a506-cdf516f31b90"",""c4c55895-4513-4855-af8d-104f976d023d"",""102af951-a31c-4971-8ffa-1575ea854b10""]","Bengaluru","wix:image://v1/bc4f65_8b6d3417d3e742daa285c2579f8ca55a~mv2.png/flat-kaseya.png#originWidth=350&originHeight=120",,,,true,true,"wix:image://v1/bc4f65_72c82203a0934af5942f667b188094e0~mv2.png/lbot-kaseya-logo.png#originWidth=1024&originHeight=512"
"Manager UX","4e58b14b-8817-4328-b400-b1cfcffc10a6",2023-06-15T03:12:19Z,2024-09-15T17:11:11Z,"bc4f65d2-8b9d-4309-a3d6-a1a44943f0b0","/resume/","wix:image://v1/bc4f65_c915367b2aec4d848aeba0e8bfa81488~mv2.png/athenahealth-logo-square.png#originWidth=1024&originHeight=1024","Defining a world class experience for cloud-based services and mobile tools for medical groups and health systems.",,"athenahealth, Bengaluru","2017 - 2018",6,"wix:image://v1/bc4f65_ee38f3d04dd44357b5119de9f826806a~mv2.png/mobile-athenahealth-logo-v2.png#originWidth=1024&originHeight=512","[""9a787c4d-62cc-4b54-b065-d0546370aff3"",""21103154-b9bc-4087-9b08-347f1b78b28c"",""8dc030d7-fbef-4fba-ad11-ab91637dbd57"",""6581b86b-2e6f-44e6-a506-cdf516f31b90"",""0d11358e-c6d6-4ced-933d-2591cb37be99"",""a32a07fa-2d4a-4487-9246-18339d85c889"",""4eb4625d-cd4b-45f6-9122-29b9ced30da4"",""661e4e5b-1c74-4c21-a963-a8fd2af926a1"",""9cdbb493-6b46-487f-8934-3abf1fb34dbe"",""45b660f2-a3e9-41d7-865a-3760cd3cc5f4"",""fd3efa30-20ad-43f7-861a-42373297ad3f"",""c5012c91-cc57-47e7-b871-8b89f013d05b"",""f8bb9428-bc2f-45dc-97a1-177b6ad5ae96"",""43116190-1c1b-4a62-af40-6bde080502dd"",""3c0a2a4c-e4c8-48ab-a78f-5c2d47b91a53"",""372bfe92-ffa2-435a-85c2-5c0907d069b7"",""78fa5f4a-f719-44b0-b6be-66d42b24cae6"",""f5b31722-167f-4272-bfd9-aa29baf88f49"",""9c533492-c71e-4e00-812b-8c62eb325552"",""102af951-a31c-4971-8ffa-1575ea854b10"",""08fe1437-32d0-439c-9c84-475e0479a45d"",""9e6872f9-6f5a-41e6-a6e5-2ae4a2635697"",""ec02d37f-c91c-4a4f-8dd6-12604c3e66e3"",""0ecc4cc1-5886-4f23-9a9d-f67f1c36ca5c"",""4324078c-5eff-4808-8f18-1d827c8d3533"",""a1db7055-bb92-461f-bb67-d609b92d5db7"",""e125239a-1553-42f7-9537-4bdcf80ef6cd"",""8d87d66a-0ef7-4481-8780-8eded7e2f0c9""]","Bengaluru","wix:image://v1/bc4f65_746ae7e46e6a4d74a205e591ccf02973~mv2.png/flat-athena.png#originWidth=350&originHeight=120",,"[""cc53745a-ce80-4929-afb4-f761a528f5a2""]","d1f5193b-2b5c-440d-ab28-fcd2c1b9a7d7",true,,"wix:image://v1/bc4f65_b746949ad2a24ed194de2301f258c74b~mv2.png/lbot-athenahealth-logo-v2.png#originWidth=1024&originHeight=512"
"Co-Founder","8854f0e9-5bf1-43f6-92e5-57416954f885",2023-10-22T16:22:21Z,2024-09-15T17:17:02Z,"bc4f65d2-8b9d-4309-a3d6-a1a44943f0b0","/resume/","wix:image://v1/bc4f65_a3e20810ee2e44dfb6b66279d3f9eb9f~mv2.jpeg/cmc-logo.jpeg#originWidth=129&originHeight=130","A small startup focused on development of mobile applications",,"CodeMyCode","2010 - 2012",0,"wix:image://v1/bc4f65_a3e20810ee2e44dfb6b66279d3f9eb9f~mv2.jpeg/cmc-logo.jpeg#originWidth=129&originHeight=130","[""e28c2e22-7b2f-429b-b92b-bc13b98815c2""]","Bengaluru","wix:image://v1/bc4f65_2718f189c2e64c9493552966278e9cec~mv2.png/flat-cmc.png#originWidth=350&originHeight=120",,,,,,"wix:image://v1/bc4f65_83149c2f8c494b06b35bb6c1a4df9f2a~mv2.png/lbot-cmc-logo.png#originWidth=1024&originHeight=512"
"Student","8d7c2f88-70d3-4085-800e-8170954b17a4",2023-10-23T03:06:55Z,2024-04-07T02:33:11Z,"bc4f65d2-8b9d-4309-a3d6-a1a44943f0b0","/resume/","wix:image://v1/bc4f65_22937fe0c48540ddad177269787f03be~mv2.png/tiet-logo.png#originWidth=512&originHeight=512","Thapar University",,"Thapar University","2003 - 2007",0,"wix:image://v1/bc4f65_22937fe0c48540ddad177269787f03be~mv2.png/tiet-logo.png#originWidth=512&originHeight=512","[""2bbaf4c0-062b-4ab7-928d-4acba4370126""]","Patiala","wix:image://v1/bc4f65_178ebfb4938f420789edeacf7e7fea84~mv2.png/flat-thapar.png#originWidth=350&originHeight=120",,,,,,
"Software Engineer","a09dfa42-941b-4fe5-813e-139526bbe26b",2023-06-15T03:16:12Z,2024-09-15T17:11:48Z,"bc4f65d2-8b9d-4309-a3d6-a1a44943f0b0","/resume/","wix:image://v1/bc4f65_d3e439455eb84365b573ad9e1da923e0~mv2.png/applied-materials-logo.png#originWidth=1024&originHeight=1024","Development of upgradable device drivers in C++, for a chip manufacturing tool – Endura. Enterprise support & troubleshooting.",,"Applied Materials, Bengaluru","2007 - 2010",1,"wix:image://v1/bc4f65_6585637334044216be801d2dc459c8ee~mv2.png/mobile-applied-materials-logo.png#originWidth=1024&originHeight=512",,"Bengaluru","wix:image://v1/bc4f65_1485d66c86524dffa3866f7bf870983c~mv2.png/flat-amat.png#originWidth=350&originHeight=120",,,,false,true,"wix:image://v1/bc4f65_e1f74cce124a451a9f1126bf985dcebe~mv2.png/lbot-applied-materials-logo.png#originWidth=1024&originHeight=512"
"UX Director","b91a10d6-4e7c-40ee-a8e1-abde6c0aa14e",2023-06-15T03:13:50Z,2024-09-15T17:11:18Z,"bc4f65d2-8b9d-4309-a3d6-a1a44943f0b0","/resume/","wix:image://v1/bc4f65_ea08172c50104abd8f1403d9709b8cdb~mv2.png/zivame-logo.png#originWidth=1024&originHeight=1024","Defining shopping experience across multiple offline and online properties of Zivame. In an effort to build Zivame as a global lingerie destination, we are currently doing a major redesign exercise with heavy focus on brand.",,"Zivame, Bengaluru","2016 - 2017",5,"wix:image://v1/bc4f65_5fe047246e954bcd85ddc67e63b73195~mv2.png/mobile-zivame-logo.png#originWidth=1024&originHeight=512","[""639aae71-fe09-4c11-8e1f-6747123d40f3"",""c9e843dc-a5db-48a5-bb88-9f642b1abb3c"",""1c62c103-fa99-44a0-a8fb-8f7c29e2a835"",""80f2b0fc-7a79-4188-bc07-33e284c64d04"",""02c1fd88-2475-463a-9f64-4593bd0bbd2c"",""ea1853a4-0edb-4673-91d0-38aee297e5cf"",""84b540e7-9001-4d9b-b7b6-78577cbca9bc"",""68d64117-0fc5-4856-9098-d02da7b40616"",""f8c74d1f-6921-465f-87cc-aa8a3c6d4efa"",""7c340d52-572c-42c0-88a8-f7c6bba8fb88"",""6a8c0f1a-e3e4-49c6-883e-ec20b1c2dae5""]","Bengaluru","wix:image://v1/bc4f65_db5728f17ac342f396a2518f3a5e51d6~mv2.png/flat-zivame.png#originWidth=350&originHeight=120",,,,true,true,"wix:image://v1/bc4f65_2894ba7a79dc43e69b014e0d2be6c171~mv2.png/lbot-zivame-logo.png#originWidth=1024&originHeight=512"
,"ba5f3604-62ee-4fb5-bd07-eca95cb32572",2023-10-29T17:17:28Z,2024-04-07T02:33:13Z,"bc4f65d2-8b9d-4309-a3d6-a1a44943f0b0","/resume/",,,,,,,,,,,,,,,,
"Mobile & Devices Engineer","c65f5ef0-ecaa-42a7-90ab-6a7c5fa4a8cb",2023-06-15T03:15:29Z,2024-09-15T17:11:40Z,"bc4f65d2-8b9d-4309-a3d6-a1a44943f0b0","/resume/","wix:image://v1/bc4f65_2932ab3d76e7403cbfa6492a77df1b4d~mv2.png/adobe-logo.png#originWidth=1024&originHeight=1024","Porting Flash runtimes to mobiles & devices, maintenance of runtimes, testing & certifying devices, enterprise support & troubleshooting.",,"Adobe, Bengaluru","2010 - 2012",2,"wix:image://v1/bc4f65_f43636e2c70a4678b54757f8ea73d69d~mv2.png/mobile-adobe-logo.png#originWidth=1024&originHeight=512","[""1c709a8d-9f2d-478b-a79e-55eb915d93df""]","Bengaluru","wix:image://v1/bc4f65_71524b5fab51466090fc21eeedcf453d~mv2.png/flat-adobe.png#originWidth=350&originHeight=120",,,,true,true,"wix:image://v1/bc4f65_a4733bdbeaad49469c73188815236f3f~mv2.png/lbot-adobe-logo.png#originWidth=1024&originHeight=512"
"Director Experience Design","cc53745a-ce80-4929-afb4-f761a528f5a2",2023-06-15T02:43:09Z,2024-09-15T17:10:53Z,"bc4f65d2-8b9d-4309-a3d6-a1a44943f0b0","/resume/","wix:image://v1/bc4f65_c915367b2aec4d848aeba0e8bfa81488~mv2.png/athenahealth-logo-square.png#originWidth=1024&originHeight=1024","Leading a world class experience for cloud-based services and mobile tools for for zones within athenahealth Platform.",,"athenahealth, Boston","2021 - current",8,"wix:image://v1/bc4f65_ee38f3d04dd44357b5119de9f826806a~mv2.png/mobile-athenahealth-logo-v2.png#originWidth=1024&originHeight=512","[""41234622-9fc6-41ac-9eeb-e6582e6a6d70"",""64a6ed0f-e8d1-47bf-a9e9-b2646a721d23"",""5fd420ea-4f94-4e1c-adf0-f8ad66893fa0"",""678d311a-d8ed-47cc-9337-68f1d481e67a"",""1d0e8a82-71bc-4670-bcc8-c72fdda7f6a6"",""26a89ca4-8197-4049-9d73-06025bde5b81"",""633e0808-f5fa-4e68-b7ac-4cffaa5ad3a4"",""57c594d3-48cb-4c2e-b994-4bbcbeace849"",""55f1f289-417a-4f96-a4d4-fc9f36cc1052"",""4212e470-ab06-4800-bfc5-377b9c71b170"",""aa6583ed-6d6e-4e24-8faf-cee7bdd2aba2"",""dca2993a-2707-4a55-8c73-94ae102ccf96"",""a1077324-99bb-4481-9359-02d84619d4a9"",""b3f79252-493d-4883-91ac-ff2109fee4e7"",""fe60280a-f4ac-4f8d-aec2-bf9ee02fd588"",""0d11358e-c6d6-4ced-933d-2591cb37be99"",""a796a4f7-cedb-4103-84e9-4291651bf231"",""2335f571-0d63-4f42-9a4d-1cdaf2cf74e0"",""a688b008-118a-4f66-a6b8-a40726dc4807"",""bd3a77be-4168-4fc0-838a-0b5b2089a983"",""544a3543-df11-4d90-869d-9cbf2f57d981"",""a32a07fa-2d4a-4487-9246-18339d85c889"",""b862826c-d03d-44b1-be5a-6ea3905b87f4"",""4eb4625d-cd4b-45f6-9122-29b9ced30da4"",""8f1935ca-44a8-4b73-a902-bb8a5246cec4"",""41f9c37e-8c39-4aca-9cfd-1678aef13f90"",""2685c79d-78a2-4e2c-926d-f7d93d73d549"",""09f754b1-07be-442d-953f-fd77bbfc3b34"",""bcd5241c-0b5a-436b-9e26-b9dfb7367672"",""45b660f2-a3e9-41d7-865a-3760cd3cc5f4"",""6cf31a2f-4059-454a-905d-daa6ad38cd40"",""390176c8-212f-4a50-aae2-63f4b24564dc"",""fd3efa30-20ad-43f7-861a-42373297ad3f"",""c5012c91-cc57-47e7-b871-8b89f013d05b"",""cb98edd9-e9d2-4dfe-8c5a-135c205a667a"",""f8bb9428-bc2f-45dc-97a1-177b6ad5ae96"",""349cc8b2-c48d-4314-b73a-8cf0eef277fa"",""bdb746e4-3ed1-459d-b998-c567586903ce"",""f3d5521c-a91b-4681-a304-dd6294352e06"",""43116190-1c1b-4a62-af40-6bde080502dd"",""3c0a2a4c-e4c8-48ab-a78f-5c2d47b91a53"",""372bfe92-ffa2-435a-85c2-5c0907d069b7"",""d9625692-0bea-4d7f-a99f-f9ff6c47f297"",""95569a7d-ea6c-4db0-a032-c4bbc3d1910c"",""594d9edd-5cff-4f46-ad15-dfbed1c34dbb"",""78fa5f4a-f719-44b0-b6be-66d42b24cae6"",""74b010fa-333b-4e39-8f3c-f774413a87ed"",""9a4f516c-bfe8-4ddd-ae60-26b538e07277"",""0f1f72e8-d81e-4879-b093-b0b9e4e6a0e6"",""33200261-bc2a-46dc-a221-1f54c42f36bc"",""5db7f9ff-4916-4455-9444-0920e6f1a895"",""9c533492-c71e-4e00-812b-8c62eb325552"",""d295f784-1ab7-4d44-b061-7805824703ca"",""69b34781-ec1a-4170-9d7c-e6d05a8915d2"",""177646bf-b306-473e-81c5-c809d02bc2bd"",""ad11955c-b3f8-4c79-8176-034058e233f6"",""65325076-81fe-4984-877c-3af05d112693"",""0ecc4cc1-5886-4f23-9a9d-f67f1c36ca5c"",""72e4ba0a-c57b-4532-bbc0-b2b5868d5a0b"",""1fcc2294-3d55-4734-a665-06d043596dd9"",""56b8a57d-48e0-4315-97e9-622e3a026c3c"",""6a8c0f1a-e3e4-49c6-883e-ec20b1c2dae5"",""e125239a-1553-42f7-9537-4bdcf80ef6cd"",""8d87d66a-0ef7-4481-8780-8eded7e2f0c9"",""78f4bce2-ae5d-4f61-b43c-11df913746ee""]","Boston","wix:image://v1/bc4f65_746ae7e46e6a4d74a205e591ccf02973~mv2.png/flat-athena.png#originWidth=350&originHeight=120","[""00000000-0000-0000-0000-000000000003"",""4e58b14b-8817-4328-b400-b1cfcffc10a6""]",,,,true,"wix:image://v1/bc4f65_b746949ad2a24ed194de2301f258c74b~mv2.png/lbot-athenahealth-logo-v2.png#originWidth=1024&originHeight=512"
